City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.81,70,5,6.64,PN,1681846984
1,puerto ayora,-0.7393,-90.3518,28.64,88,81,2.24,EC,1681846984
2,arraial do cabo,-22.9661,-42.0278,26.92,78,75,4.12,BR,1681846984
3,harstad,68.799,16.5293,6.2,99,100,11.62,NO,1681846984
4,blackmans bay,-43.0167,147.3167,11.5,80,91,2.26,AU,1681846985
5,kailua-kona,19.6406,-155.9956,26.98,64,0,4.12,US,1681846985
6,natal,-5.795,-35.2094,29.36,70,20,5.66,BR,1681846985
7,cascais,38.6979,-9.4215,22.92,41,0,6.17,PT,1681846754
8,margate,51.3813,1.3862,9.94,82,90,2.68,GB,1681846985
9,petropavlovsk-kamchatsky,53.0452,158.6483,2.1,93,75,2.0,RU,1681846985
10,jiagedaqi,50.4167,124.1167,-2.01,68,36,0.55,CN,1681846986
11,vanimo,-2.6741,141.3028,24.55,89,98,2.24,PG,1681846986
12,edinburgh of the seven seas,-37.0676,-12.3116,15.22,58,100,5.6,SH,1681846878
13,murraysville,34.2957,-77.8475,25.98,27,0,3.09,US,1681846986
14,sungai penuh,-2.0833,101.3833,18.43,96,91,0.85,ID,1681846986
15,amble,55.3333,-1.5833,7.95,95,8,2.57,GB,1681846987
16,ancud,-41.8697,-73.8203,12.82,91,100,4.53,CL,1681846987
17,hawaiian paradise park,19.5933,-154.9731,26.05,85,20,5.14,US,1681846821
18,waddan,29.1614,16.139,19.58,32,1,6.62,LY,1681846987
19,port-aux-francais,-49.35,70.2167,5.82,80,80,15.5,TF,1681846988
20,utrik,11.2278,169.8474,26.53,79,100,7.35,MH,1681846823
21,palikir - national government center,6.9248,158.1611,25.41,89,100,2.57,FM,1681846907
22,novohrad-volynskyi,50.5941,27.6165,7.84,77,100,3.33,UA,1681846988
23,grytviken,-54.2811,-36.5092,2.26,84,84,0.35,GS,1681846988
24,kone,-21.0595,164.8658,23.48,89,68,1.54,NC,1681846988
25,tralee,52.2704,-9.7026,9.05,86,0,3.69,IE,1681846990
26,port lincoln,-34.7333,135.8667,14.13,65,39,5.71,AU,1681846990
27,olonkinbyen,70.9221,-8.7187,0.42,97,97,6.29,SJ,1681846838
28,enewetak,11.3474,162.3373,26.95,75,100,9.02,MH,1681846827
29,iqaluit,63.7506,-68.5145,-13.15,71,75,8.23,CA,1681846991
30,orsa,54.5153,30.4053,7.83,86,100,3.43,BY,1681846991
31,boajibu,8.1833,-11.3333,25.83,85,91,0.79,SL,1681846991
32,college,64.8569,-147.8028,-3.01,58,75,7.2,US,1681846920
33,hamilton,39.1834,-84.5333,17.91,35,0,5.66,US,1681846993
34,waitangi,-43.9535,-176.5597,15.46,86,100,2.24,NZ,1681846993
35,avarua,-21.2078,-159.775,25.03,78,75,6.17,CK,1681846902
36,at-bashi,41.1702,75.8106,-0.58,74,31,0.35,KG,1681846993
37,nar'yan-mar,67.6713,53.087,-2.91,88,95,3.23,RU,1681846993
38,bethel,41.3712,-73.414,13.9,47,100,7.72,US,1681846994
39,mitchell,43.7094,-98.0298,18.99,30,0,13.38,US,1681846865
40,brookings,44.3114,-96.7984,16.19,37,0,10.29,US,1681846994
41,nzerekore,7.7562,-8.8179,24.32,77,76,0.32,GN,1681846994
42,fu'an,27.0892,119.6453,21.28,99,100,1.23,CN,1681846994
43,ushuaia,-54.8,-68.3,6.81,65,20,5.66,AR,1681846880
44,miramar beach,30.3744,-86.3586,28.25,41,0,3.6,US,1681846995
45,ilulissat,69.2167,-51.1,-1.99,80,100,3.6,GL,1681846995
46,cartagena del chaira,1.3349,-74.8429,27.11,72,100,1.39,CO,1681846995
47,vail,32.0479,-110.712,28.09,11,2,3.13,US,1681846973
48,talnakh,69.4865,88.3972,-19.33,85,24,0.76,RU,1681846996
49,san andres,12.5847,-81.7006,31.01,62,40,5.66,CO,1681846996
50,puerto natales,-51.7236,-72.4875,13.25,58,75,2.57,CL,1681846996
51,levuka,50.1834,-105.4011,3.9,81,100,10.29,CA,1681846853
52,thompson,55.7435,-97.8558,-0.91,29,20,3.09,CA,1681846937
53,piacabucu,-10.4056,-36.4344,27.32,77,93,4.27,BR,1681846996
54,payson,40.0444,-111.7321,15.02,25,75,8.23,US,1681846961
55,punta arenas,-53.15,-70.9167,9.06,71,75,6.17,CL,1681846733
56,sinabang,2.4803,96.3801,27.03,82,81,1.88,ID,1681846997
57,laguna,38.421,-121.4238,16.75,43,0,3.09,US,1681846997
58,susuman,62.7833,148.1667,-17.54,100,74,2.39,RU,1681846882
59,kolosovka,56.4678,73.611,-5.69,48,0,1.77,RU,1681846997
60,kiama,-34.6833,150.8667,17.54,82,91,3.3,AU,1681846998
